Why do I still care about this its 2020	0
 just casually replacing all the emojis with my MEXICAN skin colot lol	1
Hes still a jackass	2
2020 anybody. Now here is my question. Y'all hate he for making a video in a forest of dead people, and posting it to YouTube. Y'all love Dababy right. He kills people, but y'all still love him. So. Y'all mf are confusing asf	0
Ikrrr I remember when it just happened	3
How selfish it is he did it for views 	2
That was 2 years ago?!	0
Feels like yesterday man :(	3
why am I watching this in 2020?????????	0
I WANT TO WATCH THIS DELETED VIDEO!	2
MrBeast kept on talking about he  so I had to do this.	0
he is a fucking lier	2
Any1. In 2020??	0
2 years ago... time flies.	3
Honestly he didnt do something that bad	0
i saw that video	0
Yall know theres a video of this forest where they show dead bodies-	0
Dumb way to do that.... that was pretty scummy guy, not gonna lie. 	0
he should be banned from youtube. He is beyond disgusting.	0
Hi zombie.	0
2020?	0
Trump young	1
2 years later.....	3
Why am I watching this in 2020?	0
Im back	1
15 million FOLLOWERS on yOuTuBe	1
to anyone who sees this comment and is feeling helpless and suicidal ,this is for you, please goto my channel and type ' GOD'S LOVE FOR YOU' that is how much Father loves  u x	1
Hello my fellow 2020ians	1
People got mad at him but watched it what did they think they were  going to see followers were just as bad for watching it wasnt like he was at Disneyland you go to a haunted house you see scary stuff not mickey mouse so you go to suicide forest what you think you might see just dont understand people when you go on you tube to watch something n it says city dump your going to see trash learn to read what you watch n you might not get your feelings hurt	0
Why am I watching this in 2020	0
Stop framing him for stuff he did not do	2
15 million 'followers' on youtube	1
I want to see that video	0
But the question is why would he even think  of going  back there and staying  that	0
I get that he made a BIG mistake but the fact that he cant post a lot like he used to because of this (Im not a fan of him but its kinda sad)	3
For the love of God and the whole human species please, do not reproduce.	2
YouTube isnt a babysitter	2
I saw the video and it took me time to figure it out and then I realized when my friend told me I was like ohhhhh	0
Why am I back here	3
What has the world come to people making fun of this man like if you think the world should be a better place	3
BatmanKid299 ditto	1
HOLY SHIIT Its been two years already...	0
If you go to aokigahara, please visit to pay respect to the deceased. Not this. Never this.	2
15 million 'FOLLOWERS???' On youtube	1
I love he 	1
He really isn't a 'YouTube star' but ok.	0
you can say that he is now HANGING	2
Pew army? 	2
People doesnt know him, he laughs when he is confused, or in an awkward situation and doesnt know what to do. He did not think about it and how everyone got angry and of course he would never take a picture of a dead person without bluring it. And yes he tried to make a positive video of what a bad problem suicide is and why its not the right way to end your life.	3
Nobodycareswhatyearyourin	1
Japan has the least homicide rate but the largest suicide rate.	3
Old peolple 15millon follows hhajja subcribers	1
Coz he only have 15 million followers that time	3
Why they say 15 million followers on YouTube	3
he  only cares about money	0
Why would u do such a horrible thing this isn't a joke ur disrespecting someone who took there own life	2
ASSHOLES by Aaron James paperback book	1
He should have post it in bestgore	1
 so shat ta fuck up !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ,,.,,,  and you are baiscy destroing him . his fodher olmost bit him up for  what hi did so you are not sopoustu bery him in the world of internet	2
You're an idiot.	2
hej i dont care what he did all of us make a mastek but you are saing it like he was the firt guy in the world hou shoud a dead bodi on vidiv	1
The top comments crack me up 	1
Its called subscribers	1
I used to watch him all the time and thought about this and came back. I didn't even see this on YouTube I saw this on the new and when I got to YouTube it was already gone	3
I would like to say she said YouTube followers	0
2019?	0
Edit: Kinda got mad when he started replacing maverick with kong	0
 man fuck you	2
15 million followers on YouTube !!! Hah	1
This just made him more famous lol	1
A growing up experience? He's a grown man you idiots.	2
No Newfriends Bro, shut up.. Your brain finally starts to fully develop for men at the age of 25. For females its in there early 20s. Stop talking shit!	2
Well some people grow up in they 20s, but most people grow up till they're 18	0
No Newfriends nice	2
I can't believe it's been almost two years now	3
1 year later he's a bigger dick now, 'I didn't do it for views, I get views.'	3
he  - ends up on news	0
Deji - nothing happens	1
Yeah to be honest dont mock him. He will kill himself for being mocked by the whole internet.	2
Good. I hope he does.	1
I didn't watch his video and I don't really get what happened..but.. i don't know what is so bad about that video. people die every day, there is already too much people on this planet. and what do we do? nothing. we just fucked everything up. we are the reason our planet is dying, we are the reason why everything is dying. i sometimes wish people go extinct.	3
Whos coming with me in the dark	1
The fact that you have no context to your edgy comment makes this worse because you have no proof to back your claim up	2
This is shit fuck ABC news	2
We all make mistakes. Forgive him. He still brings joy to your day! It's not like you never did something wrong. SMD	2
Aight edgelord	0
@Wlfclud AJ Like I said Raghu Seetharaman is a pussy who will never admit he's wrong or that he lost.	0
@Raghu Seetharaman Did you just dab? That's so fucking stupid and doesn't help your side of the story. he  showing a dead body, laughing at it, doing other messed up shit  (like throwing plates and leaving the shards of glass for his dog to step on), is not okay. Think of how their family felt, seeing their dead loved one hanging from a tree on YouTube. Movies and video games are different, those characters do not exist in the real world. This was a real issue and you are not right in any way. The fact that you would support he and his terrible decision to go into the Suicide Forest, and especially his decision to FILM it when he knew he'd find at least one person dead, is fucked up. Maybe if you were a part of the victim's family, you'd understand the pain and horror they went through when seeing this video. That enough to get you to stop defending yourself because you know you're wrong?	2
@thePRUH!!!! rofl	1
