Watch rudy a young youtuber who made a song called 'everything is all right' its a nice song that will make you happy for sure	1
I did not cry :/	3
Didn't cry!	1
So I'm tuff right?	1
0% not caying	3
Here is something sad 	3
https://youtu.be/wOzQMCyPc8o	2
I never have enough for anything at stores as a kid and im almost an adult and still dont have enough for skool supplies	3
Im realy sad from that	3
Whaaaaaaaaa this is beautiful	1
I did not cry	3
I didnt cry lol.	3
If that didnt get Rights to this song happy birthday this is legal I think Im the only one thinking that	0
I cry 	3
Plot twist man in question is vapir and never dyse	0
Ngl i didn't cry it put a smile on my face	1
I DID NOT CRY	3
I'M NOT CRYING YOU ARE!!!!!!!!!	2
I'm not crying I'm just thankful for that man	1
Me too	3
I cant stopppp	3
I cry so much	3
What? I didn't cry	3
We are so privileged	1
This kid is a brat	2
I didn't cry	1
I dont cry	2
Take the L	0
I was already crying at 3:00 I just have a pure white heart	3
I didnt cry bois	1
I think I almost cried	3
I didnt cry at all or anything	1
I cried at the end. I think the grandpa MIGHT be the guy in the queue from the first time. I don't know, maybe?	3
I cant cry	3
But the video is amazing, full of morals	1
I didn't even cry.	3
Wait was it the grandpa that gave the boy the cake then the girl got the cake for the grandpa that gave the little boy the cake	1
LOOOOOOOOOOOOOOOL THIS VIDEO IS SO FUNNY XD LOL WOW	0
I didnt cry	3
i did cry okey	3
so that means its nt 100%	3
I really cry because of the story...i'm touched..	3
I am crying 	3
Wow I thought I was not going to cry it feels like cutting onion	3
What goes around come back around (lol hope I got it right)	0
Me: Pfft This wont make me cry	3
Me again: Fills Bucket with my tears	3
Who got emotional after watching this hit a like	3
Great now my pillow is soaked...	2
Here is a beautiful lyric song for them :')	1
Undo Lyrics	1
Creator: Sanna Nielsen	1
Silent, I can't wait here silent	0
Working up a storm inside my head	3
Nothing, I just stood for nothing	2
So I fell for everything you said	1
Hear the rumble	2
Hear my voice	0
Gotta make a change and make some noise	1
Undo my sad	3
Undo what hurts so bad	3
Undo my pain	3
I know that I am over you	1
Undo my sad love	3
Gonna get out, through the rain	1
Trouble, baby I'm in trouble	1
At last I know what I should do	1
Every time I look into your eyes	1
Save me, oh, I'm gonna save me	1
Far away from all the crazy lies	1
My sad love	3
Ok I haven't finished the video but that guy wanted the cake and the girl didn't even say thank you.	2
New thing, grandma getting this guys number	1
That was not sad but it had a meaning always give kindness	1
That wasn't sad at all	1
Awwwwww true act of kindness is so awesome Ahahaha	1
I did not cry it was realy not sad	3
Who tf disliked	2
Whos so emotional fucked up they did not cry	3
Yeyyy i did not cry HAHAHAHA. I'm actually practicing how to not cry easily hahahaha	1
If you think that is sad, you will cry with this: https://www.youtube.com/watch?v=h3TFw5k4Z9E&t=67s 	3
My parents taught me not to cry at the slightest of anything, this did not make me cry, nothing will unfortunately lol.	3
Can someone explain why this is sad?	3
Show of	1
My face is drowning in tears rn	3
Why are all these videos Asian	3
Hit a like if u ever cried !! :(	3
That shit was whack	0
Im supposed to cry not to cringe	3
 sad music plays slowly in background	3
JA_L0 : ()	1
I am proud of being Asian	1
JA_LO MOM AFTER WATCHIG VIDEO : HELL YES	1
Kindness is so simple	1
I just came here to cry for tiktok	3
So sad  	3
OMG I did cry	3
like me	1
10 seconds in its already making me sad	3
RIGHT....BS.   HOW MANY HOMELESS DESTITUTE ASIANS DO U REALLY SEE OUT HERE....GET IT REAL....ITS A WHITE THING. ..	3
I wish the world was full of men in the queue	1
It didn't made me cry but it was cute and sad :)	3
It did not make me cry	3
Who went straight to the comments	0
I totally cried	3
i didnt understand	3
THIS MADE MY CRY	3
like if you did too	2
Bruh.....I didn't cry	3
I didnt cry! :O	1
Did anyone notice that the man that buys the cake for the boy is the grandpa	0
Well.....Duh. That's what they were trying to show on the note.	1
I dindnt cry	3
3:40 that made me laugh	1
omg i cried but i tried so hard not to first	3
I'm drowning in tears and it's not the first time I watch this video	3
it didnt	3
This is so good...	1
i even cry	3
No but kind of make me cry but it is happy	3
I mean, good story, but not enough to make me cry	3
Who did not cry but was very happy about it	1
I couldnt cry	3
Did you 	0
That guy like mrbeast and the family are like homeless peole	0
But to be honest this was an sad story.If I walked by that little girl I would buy everything for her for a birthday a cake , candles, balloons and more!I have the money	3
Omg! Did u guys realize that old man it was the man who bought the little boy the cake!So when the little boy growed up he bought the poor little girl a cake as well.Rewatch if u did not understand:)	0
The little girl is so stinking CUTE!!	1
That was real nice but not something I would cry about	3
That wasn't even sad wtf	3
I am really crying	3
My  brother  died  when I was  seven	3
I don't cry	2
I didn't cry but my brother cry so much	3
I wish i could be this pure hearted and nice but this world is just too toxic to be myself	3
im not crying	2
I want to cry but my diagnos make me fell no emtions at all (basicly psychopath)	3
This was heart melting and beautiful...someone kind and compassionate helped someone else in need so that sweet little girl, her brother, and Grama could bless grandpa with a nice birthday cake and he wouldn't feel forgotten on his birthday, and the young man who did this kind and loving gesture for them was paying it forward as he was asked to by the kind man who blessed him on his birthday when he was a little boy......recently my husband and i have been richly blessed at Christmas time by a couple of very kind, loving, and generous strangers, as well as surprised and blessed by friends of ours and I want to say a huge thank you to all of you lovely children of God who have done this for us both...we love you very much and you truly make a difference in our lives and others....we gratefully look forward with joy in paying it forward also and it so reminds me of what the Lord Jesus Christ did for every single one of us when he paid the price on the cross for us and saved us from all of our sins when we were hopeless sinners in need of a saviour......He took our place and cancelled our debt so we can be reunited with Him, our creator if we only accept His precious and beyond awesome gift of eternal life, safe with Him........Thank you precious Jesus and Heavenly Father...I love you forever and am so grateful and amazed at your love and grace!!!!!!!.....I love you all too, my brothers and sisters ...you are ALL PRECIOUS..EVERY ONE...MERRY CHRISTMAS  AND BLESSED NEW YEAR IN 2020!!!XOXOXOXO XOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXOXO	3
I didn't cry.	1
oh its very sad moments.	3
funny funny	0
I didnt cry its hard to not cry about Ripple	3
They say you gonna cry 100% But Its so boring you cannot cry from that	0
I cried	3
I didnt Cry.	3
Im only 4:03 through the vid and I already know that the first man in the queue is the grandpa	1
i still didnt cry maybe im young enough to understand it	3
Conmovedor, pero no es triste	1
:):::: so cute 	1
This was so cute 	1
I just cried a lot 	3
You're skin isn't paper dont cut it	2
You're body isn't a book dont judge it 	2
You're life isn't a film dont end it	2
Hope this gave you some inspiration Always remember you are perfect just the way you are	1
You're face isn't a mask dont hide it	2
i was trying to cry cause my cat bite my hand but i couldnt cry after	3
I didn't have to cry	3
I didn't cry but it was sad and kind	3
how was that sad it was so sweet	3
Why are they acting so dramatic over a fucking cake?	2
So sweet... <3	1
I LITERALLY CAME HERE JUST TO CRY I WANT TO CRY EVEN MORE I DON'T KNOW WHAT I'M GOING TO DO HUHUHU I HATE MY SELF	3
I didnt cry lol	3
Its so cute I cryed	3
I love how unnecessarily positive it is pushing the world to be, as if Russia and Iraq don't exist.	2
I must cry. I was so happy.	3
I did not cry!like if u did! I dont have a grandma...I lost her...I was sad when I heard the news that........She died...I NEVER got a single chance to see her...I was sad and mad...Really not a story	3
The video is no't cry	3
Im very sensitive and I was so emotional I cried a lot Im crying wile I typed this if your the same like	3
I remember the last time I saw my mother she had cancer I miss her so much at least she is at a better place 	3
This is hilarious, this is the most cheesy, pathetic attempt at emotion I've ever seen.	0
Lol i didnt cry but it was kinda sad :)	3
@Rambunctious Recruit Agreed.	1
0:19 	1
She hit the cart	0
It is so sad it made me crying so much 	3
Im not even crying	2
I actually cryed	3
I didnt cry lol but it was still sad	3
I mean video	0
I didn't even cry but nice videp	1
It make me cry	3
that's so heart warming and caring to see<3	1
Who came here just to cry more	3
i only had water in my eyes	3
(later)	0
STOP FRICKING CUTTING ONIONS	2
On God I didn't cry 	3
I almost cried	3
I don't cry but I was shocked.	3
I resisted, but I wanted to cry... 	3
OMG this is so sad! And now i remember when my sis died in cancer and my mom suicided 	3
LIKE IF U LOVE UR MOM AND SIS	1
really someone cry while watching this shit?	3
I came here to stop my anger and be sad :)	2
So I was watching this at school and everyone Saw me crying.....	3
Im very emotional but It didn't make me cry	3
My emotions work strangley only music trigers my emotions.	3
I cant cry for myself so when Im sad Ive gotta watch sad videos	3
You are a fool to name this video, guaranteed to make you cry. Crying is sadness this is heart warming.	3
I am Youssef from Morocco, a student. I loved marriage. A professor older than me she is 32 years old. I am 21 years old. I love her for four years and do not like any girl without her. I always communicate with her on the communication sites and see her directly. Although four years have passed and I love her, I have not been able to tell her that I love her and wanted her to marry because I did not have a job currently and she has a job and a monthly income. That made me not be able to tell her about me I love her and wanted her to marry, she is very beautiful, I loved to follow her on a daily basis, and I see her pictures, and also religious and respectful, so her beauty is wonderful and I always see her in my mind is the beautiful princess in this whole world, but I fear that I did not tell her that I want her to marry and marry someone else, this matter will make me stay sad throughout my life Because I always find her sweet and a wonderful aura to me, and I wouldn't be able to give love to any other girl without her. Please if you have any advice, share it with me or contact me on the contact at this number 0613361717 with all my respects to you. Thank you.	3
and this is so sad it's like my mom past away and I got my last kiss and huge I am crying so much	3
This story is kind of like what happened in real life for me but take away the part when people pay for you i wanted something but my parents said they cant afford anoff money cause there broke back in there days they couldnt buy food they had to hunt 	3
this is so sad it's like my birthday but nobody come	3
That's my life....	3
Wasent sad	3
Am I heartless for not crying.	3
Because I saw dis before.	0
Lmao why should i cry, because of a cake?	3
This only made me happy 	1
Sure are you sure about that Im a heartless bastard	2
I once bought some bread and dog food for a homeless man that spends every day and night trying to help himself and his dog he is unable to get a job because he has some type of mental illnesses that prevents him from working (I think he has memory loss or some type of short attention span) and he's too poor to get treatment 	3
aM I SOulLeSs I DiDn't cRy aT alL anD JuSt LAUHeD xDdd	1
So beautiful I always help out	1
Almost but it's really touching never forget this video 	3
That was so sad and cool in the same time	3
this is  saf	3
The end was cute and I also cried!	3
sad i meant	3
Powerfull aura that can make people cry. But not this person.	3
Bro not funny didnt laugh	3
That wasn't sad. It was just interesting	0
I loved that video it was so sad I almost cried but I didn't that was nice of that man to give that little boy a Birthday cake. But like if you cryed.	3
i did not cry	3
What a misleading title...	3
This isnt sad this is so happy!!! Happy tears!!?!?	3
It did make me cry	3
All this for a cake =>= (it was very touching though)	3
I cry ed 4 times	3
I get the video is good and all, but honestly when doing an act of kindness, you shouldnt expect anything in return. Even if they offer to give you something in return, you shouldnt accept it as to me is seen as an act of payment for your deed. Doing good deeds or giving up things just to get nothing is the sure way that people should live.	1
I wasnt sad it was actually happy	1
I didn't cry ;-;	1
This was pretty funny 	1
I'm way to emotional I'm just stressed and I'm weird so I watch sad vids to cry	3
So sad and happy	3
I didnt got a chance to cry but I liked it anyways.	3
3:36 try not to laugh 	0
I think that it is more of a happy storie than a sad one.	3
u copied this video, u do not deserve anything for someone else's work, and you still ask for subs and likes? You are definitely not worthy.	2
This is absolutely not sad. I'm laughing	1
The last one really got to me...wow	3
My parents are wondering y am crying	3
Bruh there is invisible ninjas in my room cutting onions	3
I didnt cry:v that was wired?	0
Is it just me or was it just not sad	3
Do you said on the video 100% you would cry after I did  Not cry you   Lied	3
i actually almost cried. Like I felt my eyes heating up not shredding tears	3
OMG I CANT STOP. CRYING FUCK LIFE CAN BE SAD.	3
So sad	3
Thx to God we have nice people	1
I didn't cry idk why XD like if you cry	3
I didn't cry it wasn't sad	1
OH MAN! I ALMOST CRIED	3
I didnt cry! Why am I so like brave?	3
martin bignell 	1
lolololololol	1
I told myself I wouldn't cry...but that was a *sniffle *...LIE!!!	3
Wait, I didnt cry either. So, does that make me brave??? 	0
Am i the 100.001 percent then	3
Am sorry my eyes are in tears, always do something nice, if you hurt someone, there heart shatters. If plate shatters and you say sorry it wont go back..	3
I didnt cry but it was sad	3
That is super sad and emotional but I didnt cry	3
All the dislikes are tears falling on the dislike button	3
I felt bad for Grandma 	3
lmao yes	1
