images	prices	screens	os	front_cams	back_cams	cpus	rams	memories	batteries	urls	companies	release_date
https://cdn.tgdd.vn/Products/Images/42/210654/iphone-11-pro-max-512gb-gold-400x460.png	43.990.000₫	OLED, 6.5", Super Retina XDR	iOS 13	12 MP	3 camera 12 MP	Apple A13 Bionic 6 nhân	4 GB	512 GB	3969 mAh, có sạc nhanh	/dtdd/iphone-11-pro-max-512gb	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/210653/iphone-11-pro-max-256gb-green-400x460.png	37.990.000₫	OLED, 6.5", Super Retina XDR	iOS 13	12 MP	3 camera 12 MP	Apple A13 Bionic 6 nhân	4 GB	256 GB	3969 mAh, có sạc nhanh	/dtdd/iphone-11-pro-max-256gb	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/210655/iphone-11-pro-256gb-black-400x460.png	34.990.000₫	OLED, 5.8", Super Retina XDR	iOS 13	12 MP	3 camera 12 MP	Apple A13 Bionic 6 nhân	4 GB	256 GB	3046 mAh, có sạc nhanh	/dtdd/iphone-11-pro-256gb	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/200533/iphone-11-pro-max-green-400x460.png	33.990.000₫	OLED, 6.5", Super Retina XDR	iOS 13	12 MP	3 camera 12 MP	Apple A13 Bionic 6 nhân	4 GB	64 GB	3969 mAh, có sạc nhanh	/dtdd/iphone-11-pro-max	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/190322/iphone-xs-max-256gb-white-400x460.png	33.990.000₫	OLED, 6.5", Super Retina	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A12 Bionic 6 nhân	4 GB	256 GB	3174 mAh, có sạc nhanh	/dtdd/iphone-xs-max-256gb	iphone	11/2018
https://cdn.tgdd.vn/Products/Images/42/190324/iphone-xs-256gb-white-400x460.png	29.990.000₫	OLED, 5.8", Super Retina	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A12 Bionic 6 nhân	4 GB	256 GB	2658 mAh, có sạc nhanh	/dtdd/iphone-xs-256gb	iphone	11/2018
https://cdn.tgdd.vn/Products/Images/42/198986/sieu-pham-galaxy-s-moi-2-512gb-black-400x460.png	22.990.000₫	Dynamic AMOLED, 6.4", Quad HD+ (2K+)	Android 9.0 (Pie)	Chính 10 MP & Phụ 8 MP	Chính 12 MP & Phụ 12 MP, 16 MP	Exynos 9820 8 nhân	8 GB	512 GB	4100 mAh, có sạc nhanh	/dtdd/samsung-galaxy-s10-plus-512gb	samsung	02/2019
https://cdn.tgdd.vn/Products/Images/42/190321/iphone-xs-max-gold-400x460.png	27.990.000₫	OLED, 6.5", Super Retina	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A12 Bionic 6 nhân	4 GB	64 GB	3174 mAh, có sạc nhanh	/dtdd/iphone-xs-max	iphone	11/2018
https://cdn.tgdd.vn/Products/Images/42/206176/samsung-galaxy-note-10-plus-silver-400x460.png	26.990.000₫	Dynamic AMOLED, 6.8", Quad HD+ (2K+)	Android 9.0 (Pie)	10 MP	Chính 12 MP & Phụ 12 MP, 16 MP, TOF 3D	Exynos 9825 8 nhân	12 GB	256 GB	4300 mAh, có sạc nhanh	/dtdd/samsung-galaxy-note-10-plus	samsung	08/2019
https://cdn.tgdd.vn/Products/Images/42/190323/iphone-xs-gold-400x460.png	24.990.000₫	OLED, 5.8", Super Retina	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A12 Bionic 6 nhân	4 GB	64 GB	2658 mAh, có sạc nhanh	/dtdd/iphone-xs	iphone	11/2018
