0,1
who is listening january,0
good one loved it,1
hipster music,1
nice and relaxing to read books and rest,0
i do,2
thank,1
hey what is up guys welcome back to my channel hit that like if you have not already,1
joyful music,1
e klia i ka nuu,3
medicine may cause death,0
this really does help lighten the load,2
g two strums down,1
one strum up all strings open quickly,1
people in the ad,2
to play the first song,3
d two strums down,1
repeat over and over,1
thank me later xd,1
very goodlife music,1
c d d u u d u,1
this plays at the treblinka death camps gift shop all day long,0
so beautiful,1
it sounded like a background music for diy youtube videos,0
aloha always sweet sweet beautiful sweet music from the beautiful hawaii sweet lovely music always sweet aloha good morning everyone always god bless you amen,1
so thats where the sims buy their music od,0
listen to this every morning to start happy and relaxed love it,1
aku suka,3
beautiful music happy,1
i can listen to this music while doing chores around the house lol,1
i played this while playing getting over it with bennett foody,3
this is spent coding c,2
this music give me an erection,1
this is my favorite music to murder to,1
sounds like the first second introduction of every youtube cooking video,0
how can be,3
this is great,1
holy shit this is hilariously accurate lol,0
you can torture me with this,1
serving as background music for every cute cat and dog video ever,1
im here after jo koy,1
would love to have the sheet music for this beautiful,1
is this available for download itunes,0
si hope good soooo i start my day with lemon water its soooo good and hydrating,1
i love that one,1
i will play this in my new ford mustang while ripping around the coastline,1
makes me think of one of those spiderman and elsa videos,0
mmm especially vegan ones that start every sentence with so,1
weird flex but ok micheal jackson,1
could you please list the name and artist of the songs thank you very well done music video perfect for relaxing,1
good thankyou,1
i just got back from an unforgettable seven day vacation i miss you hawaii and all the great memories you have given me and our family mahalo and god bless this paradise island,1
super saint hawaii has many activities to take advantage of some are free and many are costly the zoo was beautiful and free i enjoyed zip lining in the rain forest and parasailing at kona go to groupon for better pricing if relaxation is what you are looking for many of the beaches like the black sand beach will satisfy with the most jaw dropping sunrises and sunsets beach is beautiful too the tsunami museum in hilo is only adults and kids hawaii volcanoes national park is per vehicle and open there is a beautiful view of the volcanoes and crater from the volcanoes house you dont have to eat at the restaurants but you can get a great view from there and they have a nice lounging area the big island is so amazingly beautiful but it is very hot and humid right now and it can rain at any time just be prepared we were rained out for a couple of days the scenic drives made the travel time short minimal to no traffic food can be very costly so plan ahead shaka restaurant in has the best moko loco and other food items you get a ton of food and the price is good for the quality and amount enjoy your time mahalo,1
e z imma go to hawaii next week and i wonder if its fun over there,0
ill be there one day one day,1
hawaii is amazing went there last summer truly amazing,1
f you want to start day happy verry good,1
good song,1
first song whos whistling soulful effort,1
awesome,1
is so relaxing i love it,1
see white woman on the cover thumbs down,1
and i love banjo too,1
track list whats the name of the first song,0
name of first track please,3
what the music playing who knows,1
my parrot gets so excited when i put this was hopping and swinging and flapping about actually so was i,0
can someone tell the chords please,3
i am european do love hawaiian music but this doesnt sound very traditional to me all not the style that i enjoy for me it must be fully traditional sorry guys no offence just sayin,3
finally got through to the video got the same freaking add times in a row too many adds today its annoying as carrot,2
love it i put it on when i do homework,1
playlist mais un peu beaucoup la fin les chansons sont passes en boucle,1
what is the title of the track at,0
i made a hawaiian dance because this made me dance,1
this is seriously amazing had i been given another life i would have remained happy without any achievement victory appreciation or acceptance i would have started things being happy not to be happy but hey can do that in this life as well happiness is a choice not a destination be happy be sad there is and will always be only one life,1
like it,1
this song makes me smile even though i got robbed,0
este,2
no ka i ka mai ka poe hana hewa e hana nei i ka hana i ke,2
e ka mea pili i kia,2
no ka i n nui i ka national security,2
ke nei au e hai ioe i kau mau no ke i ka legalization of drugs,2
e n o ka w hou o n luna e ke kl,1
ak he aha ka mea e pili ana i ke pono,1
e i kahi hui hou e k i n lau o ka hui ia ka me n o n manawa n a me n mea hawi i n lau a i ka i ko a me n mea e ai e i ko a me n mai,1
o james madison,1
tupac i ka mua ua i ia kona makemake ak barrack obama ma he shinning example o ka mea a ke e hiki ai ke lilo o martin luther king jr a me n mea ae he nui loa e e mahalo i kou lima ma ka lani,2
ka hua i kamehameha,2
dont worry be happy,1
ka hua i,2
n pepa,3
o kahi e hana like i loko o ke unity for the people,1
hello i would like to know if you could please tell me the name of the author of the first song or if it is you do you sell the music for youtube videos,1
what videogame is this from our hotel in turkey played it each morning nice atmosphere,1
this music is an immediate mood lifter,1
i sounds like home made tutorial back ground,3
thank you,1
learn how to make paper boat,2
just sounds like diy music,1
the ukulele to me has the nicest sound out of any instrument its so soothing,1
thank you my soul is happy listening this music my emotional stress feels much lighter,1
i dont know how but ya read my mind,1
me before i commit st degree murder,2
play this while a huge tsunami is happening,1
couldnt sleep all night because the geckos on the ceiling made a lot of music,0
thank god this exists,1
this is like the music for every kickstarter advert ever,1
i have hours left to live what do i watch music,3
hey you you r wonderful no matter what be on a bright side of this world and be happy,1
may god bless all the people in the world,1
i play this to make my bird happy,1
life goes on never forget that things seem bleak and painful and like the end of the world but your standing and breathing and thats a good thing life the life you have nothing will get in your way if you keep looking up to blue skies yeah theres gonna be clouds but thats like life we all want blue skies and go back to the past where things seemed perfect but i can promise you it gets perfect if you keep moving forward one step at a time you can do it i believe in you from the bottom of my heart now go and live life,1
thank you so much god bless you this made me feel so much better,1
loved this,1
i play this when i get stressed out,0
so shit,2
the flow of the music brought me into a different kind of view where the place is filled with endless joy and laughter,1
u made my day,1
i fucking rave to this shit,1
is that copyright free music,0
got a hawaiian themed th birthday party going on i have never seen every single person smiling and dancing around the kitchen like this before,0
i will always keep coming back here no matter how much time goes by its my little secret place of escapism,1
ive been to hawaii and this music just took me back to those beautiful islands of hawaii little paradise so i closed my eyes and imagine i am there again right now the effect is so real and love it happy times,1
this is beautiful luckily i found this amazing video much love xx,1
wishing i was in hawaii,3
im cleaning my room dancing to this wonderful music,1
happy days for you,1
super,1
im studying chemistry and im picturing myself studying in hawaii and on the beach d,1
even my dog slept with this song he just went right to me and he slept it was so cute and i slept right beside him it was so adorable,1
i hate u i love u,3
no one even dose anything so i write write write all day,0
this makes me happy well done,1
my broken heart was so good now haha im from philippines,1
this is exactly what i was looking for,1
finally i found u,1
it helped me work on my project,1
im going to hawaii this june and i am so excited im a travel vlogger so ill be posting everyday from june nd to the th hawaii cant wait to meet you,1
when u cant think of anything to inspire you,3
does anyone happen to know the song at,0
ar,1
aloha from yes i love it here im doing the honolulu left right left love it all i need its a cold colada refreshing love to see you soon,1
i listen to this while watching mexicans sneak drugs across the border,0
thank you for this also i play this when im doing a test or play halo on the xbox,1
hey people tot i think was his name first commented,1
hey i like very much,1
really happy music,1
okay you first person to comment,2
you are really lucky,2
oh my god people,2
holy lord,0
i like the music,1
nothing can make me relaxed but it is very nice music indeed,1
who and why can dislike this i just discovered this great music and i love it so much,1
when your joy upon your damn life is a great great mistake and over her youll do everything to keep up appearances on that shitty music of yours,2
download link please,3
i play this while playing the last of us,1
i read my bible to this,1
is this copyrighted want to use a song in a video,0
love it,1
just eatin chocolate while jamming to this,1
why do i feel like im in build mode,3
the life d,1
i was like gonna look for a song to make me work better now im almost falling sleep thats so good omg,0
very nice,1
what is the music that starts at,0
someone know song named ukulele girl,1
it helps me with my depression thank you so much,1
t gay,2
gracias gracias gracias te amo,1
can i get this music on itunes i love it,1
hi my daughter loves playing ukulele,1
unboxing mystery boxes from dw makes it kinda scary,0
de,2
when everyone afk in your team but you win,1
love it,1
bravo,1
que linda musica me siento en la playa bailando con las palmeras,1
ya me siento mejor,1
listening to this pretending its not stupidly cold and snowy outside no offense to any winter lovers out there,1
a very safe music,1
minute whats the songs name,0
and relax,0
this is great,1
helps me relax,1
i love to do my homework with it or if i craft or if im board as backround music,1
sah i just searched up hawaiian music,1
polynesian culture center comes to mind and the buff guy destroying the coconuts d,1
im selling replay buttons,1
this is my fortnite default music,1
always makes my day,1
when a dog dies in a movie this is what i play,3
just wonderful thank you for uploading,1
on a serious note this really helps with my paranoia at night its loud but happy and very smooth,1
what is the name of the st song i really want to learn it,0
makes me feel so happy,1
love it,1
is my favorite,1
just watched a horror movie this will help me cope,0
depression who never heard of that thing im a happy little creature,1
this is so sad alexa play,3
im so fucking happy ahhh fuck,1
awesome luv it,1
i will play this when ill burn in hell,1
i need this to pretend that everything is going well haha,0
i wrote in the search bar that fucking hawaiian music for startup videos,2
the sims,1
be happy,1
nice music,1
im listening to this while playing hatred,2
can you say the name of the musics at the playlist,1
what a cancer music,3
please kill me now this music is played on every commercial and tv show now feeling suicidal ignore that phone number on the bridge listen to this and jump,2
relaxes my soul while reading,0
good for watching horror films,0
fuck im so happy youtube exists,1
i listened to this song at my parents funeral,3
thank you great mood lifter,1
nice son,1
what song is,0
a little jar of happiness by earle belo from epidemic sound,1
aaron huckle i was about to feel so bad for you omg,3
people do need to realise this was a joke,0
trying to get through my essay report like,0
its so peaceful by the way how do i ad emojis,1
very much like it to listen to while reading or relaxing or cooking or cleaning house or feeding the dog get the point its great,1
this helps a lot when depression hits me,3
what name first music please,1
i was sad,3
it makes me happy,1
hawaii the best place for a tropical vacation at least until the volcano erupts oo,1
too good,1
luv hawaii music,1
very h a p p y,2
i love the happy music,1
i usually dont add comments on youtube but this music is so pleasing that i couldnt resist myself from posting a comment love you keep it up relax music,1
been playing this track daily to my students in class,0
very great music,1
i am grateful to listen to this,1
love this music always makes me feel better,1
nice,1
hawaii,1
what is the name of first music awesome,1
i play this while i play five nights at freddies because im a baby im too scared thx for publishing the music,1
the no skin music,1
this song is iko music,1
i got this one on in the background every single day for about a year now,0
yes happy music prima volta first time in this chanal feeling ok for my lunch time at pm san valentine day love to everybody,1
my reaction singing when ukulele start tu ruru turu tu ruru tu ru,1
so peaceful,1
hello do you know the name of two first songs,1
good musi,0
i like,1
lovely totally improved my day,1
its so joyful for roblox or any thing else,1
i love hawaiian music,1
music is awesome,1
this music makes me smile,1
this is so cool,1
thanks for those happy music give me all day energy,1
omg i could listen to this all the time,1
this song is perfect i put it on whenever im doing homework,1
amazing,1
rnr homes pros,1
crew loves youre music getz them going,1
thank you much,1
helps us get done quickly crew live the music,1
thank you,1
i love it first music,1
so cute music,1
nice happy music,1
this is really relaxing music for studying and hard mathematics as well as helping have a better day after a really crazy day,1
i am glad to have subscribed to this wonderful channel,1
so relaxing into my ears love it,1
love the mix i listen to it whenever im still really comforting,1
it makes me happy d,1
if ur in vacation,2
if im scared i will play this every time,1
